"*ContactName","EmailAddress","POAddressLine1","POAddressLine2","POAddressLine3","POAddressLine4","POCity","PORegion","POPostalCode","POCountry","*InvoiceNumber","Reference","*InvoiceDate","*DueDate","Total","InventoryCode","*Description","*Quantity","*UnitAmount","Discount","*AccountCode","*TaxType","TaxAmount"
"Cordium Accounting Ltd ","","","","","","","","","","4296-03012019-5666","Downing Strategic Micro-Cap Investment Trust PLC"," 2019-01-14"," 2019-01-14","","","Downing Strategic Micro-Cap Investment Trust PLC","1","704","","200","20% (VAT on income)",""
"PM+M Solutions for Business LLP","","","","","","","","","","4298-08012019-5669","Andrew Industries Limited"," 2019-01-17"," 2019-01-17","","","Andrew Industries Limited","1","499","","200","20% (VAT on income)",""
"Matchroom Sport Ltd","","","","","","","","","","4299-14012019-5713","MSL 30.6.18"," 2019-01-23"," 2019-01-23","","","MSL 30.6.18","1","499","","200","20% (VAT on income)",""
"Matchroom Sport Ltd","","","","","","","","","","4300-14012019-5714","PDC 30.6.18"," 2019-01-23"," 2019-01-23","","","PDC 30.6.18","1","400","","200","20% (VAT on income)",""
"Matchroom Sport Ltd","","","","","","","","","","4301-14012019-5715","WSOD 30.6.18"," 2019-01-23"," 2019-01-23","","","WSOD 30.6.18","1","225","","200","20% (VAT on income)",""
"Matchroom Sport Ltd","","","","","","","","","","4302-14012019-5716","EPT 30.6.18"," 2019-01-23"," 2019-01-23","","","EPT 30.6.18","1","225","","200","20% (VAT on income)",""
"Matchroom Sport Ltd","","","","","","","","","","4303-14012019-5717","MBL 30.6.18"," 2019-01-23"," 2019-01-23","","","MBL 30.6.18","1","225","","200","20% (VAT on income)",""
"Matchroom Sport Ltd","","","","","","","","","","4304-14012019-5718","MBUL 30.6.18"," 2019-01-23"," 2019-01-23","","","MBUL 30.6.18","1","225","","200","20% (VAT on income)",""
"French Duncan Chartered Accountants","","","","","","","","","","4305-24012019-5723","The Glasgow High School Club Limited"," 2019-02-04"," 2019-02-04","","","The Glasgow High School Club Limited","1","336","","200","20% (VAT on income)",""
"French Duncan Chartered Accountants","","","","","","","","","","4306-24012019-5724","The Glasgow High School Club (Construction) Limited"," 2019-02-04"," 2019-02-04","","","The Glasgow High School Club (Construction) Limited","1","192","","200","20% (VAT on income)",""
"French Duncan Chartered Accountants","","","","","","","","","","4307-24012019-5725","The Glasgow High School Club (Property) Limited"," 2019-02-04"," 2019-02-04","","","The Glasgow High School Club (Property) Limited","1","192","","200","20% (VAT on income)",""
"PM+M Solutions for Business LLP","","","","","","","","","","4308-24012019-5726","Vitruvian Partners Limited"," 2019-02-04"," 2019-02-04","","","Vitruvian Partners Limited","1","225","","200","20% (VAT on income)",""
"PM+M Solutions for Business LLP","","","","","","","","","","4309-24012019-5727","Vitruvian Scotcar GP Limited"," 2019-02-04"," 2019-02-04","","","Vitruvian Scotcar GP Limited","1","225","","200","20% (VAT on income)",""
"PhotonStar LED Group plc","","","","","","","","","","4310-01022019-5730","PLC2017"," 2019-02-12"," 2019-02-12","","","PLC2017","1","680","","200","20% (VAT on income)",""
"Downing LLP","","","","","","","","","","4311-05022019-5728","DRAPER ESPRIT VCT"," -0001-11-30"," -0001-11-30","","","DRAPER ESPRIT VCT","1","800","","200","20% (VAT on income)",""
"Downing LLP","","","","","","","","","","4312-05022019-5731","DOWNING FOUR VCT PLC"," -0001-11-30"," -0001-11-30","","","DOWNING FOUR VCT PLC","1","450","","200","20% (VAT on income)",""
"Cordium Accounting Ltd ","","","","","","","","","","4318-08022019-5749","Lindsell Train Investment Trust PLC"," 2019-02-19"," 2019-02-19","","","Lindsell Train Investment Trust PLC","1","870","","200","20% (VAT on income)",""
"Adventoris Ltd","","","","","","","","","","4319-12022019-5751","Adventoris 31 Dec 2018"," 2019-02-21"," 2019-02-21","","","Adventoris 31 Dec 2018","1","0","","200","20% (VAT on income)",""
